time,high,low,open,close,volumefrom,volumeto
1467417600,700.46,671.46,674.57,698.06,67380.47,46555796.93
1467504000,701.49,644.61,698.06,661.64,99268.29,66591456.99
1467590400,679.03,644.04,661.64,675.16,63905.01,42756935.48
1467676800,679.19,657.31,675.16,663.67,54642.8,36687264.23
1467763200,678.39,662.24,663.67,672.7,47049.5,31708100.51
1467849600,676.19,604.95,672.7,635.25,153608.21,97639342.03
1467936000,663.43,630.17,635.25,662.78,75892.55,49243011.02
1468022400,663.49,620.68,662.78,651.83,96013.13,62061207.33
1468108800,651.98,636.8,651.83,647.11,29256.82,18955766.48
1468195200,657.47,639.97,647.11,646.71,45941.77,29925667.34
1468281600,673.19,644.56,646.71,670.56,66591.48,44047499.67
1468368000,672.02,656.04,670.56,661.15,62958.21,41791464.25
1468454400,661.88,646.31,661.15,657.25,48196.92,31748496.83
1468540800,667.46,656.5,657.25,664.2,35830.56,23817856.65
1468627200,665.41,655.72,664.2,660.69,20385,13557557.05
1468713600,680.94,660.13,660.69,676.33,46840.6,31614610.5
1468800000,680.42,664.61,676.33,670.38,42576.77,28810844.41
1468886400,673.24,663.63,670.38,671.1,30395.36,20401885.27
1468972800,672.29,659.51,671.1,664.4,37562.71,25075066.39
1469059200,666.51,657.82,664.4,664.62,32164.64,21351309.78
1469145600,669.44,645.69,664.62,651.11,65894.84,43283429.35
1469232000,658.17,647.98,651.11,655.16,29884.68,19544654.54
1469318400,664.21,651.03,655.16,659.29,29815.62,19642346.73
1469404800,662.51,651.08,659.29,654,34383.06,22564554.46
1469491200,657.76,643.49,654,654.38,49388.21,32177578.58
1469577600,659.08,646.04,654.38,654.54,29885.7,19568531.49
1469664000,657.96,650.81,654.54,654.13,28112.8,18452583.66
1469750400,657.4,650.99,654.13,655.43,27043.62,17757920.48
1469836800,657.55,652.06,655.43,654.74,19354.41,12721755.54
1469923200,654.92,621.42,654.74,621.87,62887.74,39918066.14
1470009600,627.89,603.55,621.87,607,66660.27,41229298.83
1470096000,613.75,471.36,607,513.43,130913.66,75338595.54
1470182400,573.06,514.09,513.43,566.44,85930.35,47170751.56
1470268800,584.89,559.5,566.44,576.22,44823.44,25725471.16
1470355200,579.97,565.81,576.22,574.66,27885.51,15992890.37
1470441600,596.68,565.33,574.66,586.45,25382.28,14676841.26
1470528000,596.01,580.87,586.45,590.85,26202.24,15491523.1
1470614400,594.24,585.41,590.85,589.24,24880.83,14726811.56
1470700800,591.2,581.1,589.24,585.25,25971.47,15304277.91
1470787200,600.52,580.87,585.25,590.94,49568.68,29376783.81
1470873600,599.15,585.39,590.94,587.84,39824.58,23640952.51
1470960000,591.14,582.2,587.84,587.14,25501.78,15009452.98
1471046400,590.07,582.81,587.14,584.59,19303.82,11357750.81
1471132800,585.8,559.93,584.59,569.06,33065.8,18970094.63
1471219200,574.97,559.28,569.06,566.95,33771.15,19218972.96
1471305600,583.38,563.38,566.95,580.19,37689.33,21634083.15
1471392000,581.1,568.66,580.19,572.34,32760.8,18886741.55
1471478400,579.53,570.83,572.34,573.39,30389.41,17509679.71
1471564800,577.86,566.25,573.39,574.56,25530.44,14701426.29
1471651200,583.5,572.28,574.56,582.61,23119.79,13416843.63
1471737600,585.32,577.84,582.61,580.66,14160.18,8294321.53
1471824000,591.9,577.13,580.66,587.47,33558.61,19658058.08
1471910400,589.87,578.61,587.47,583.56,32082.32,18772369.53
1471996800,584.47,576.82,583.56,579.66,28057.04,16337141.09
1472083200,580.71,570.81,579.66,577.96,32733.65,18885349.63
1472169600,582.73,575.83,577.96,579.37,21168.38,12329289.75
1472256000,580.41,567.25,579.37,570.35,18686.65,10747219.53
1472342400,576.32,569.21,570.35,574.98,12824.95,7377921.72
1472428800,578.61,571.38,574.98,574.23,23862.95,13760854.22
1472515200,579.94,572.51,574.23,577.32,27480.29,15895354.76
1472601600,578.25,571.69,577.32,573.88,24933.77,14338795.45
1472688000,704.97,569.37,573.88,571.99,25872.2,14860164.25
1472774400,577.6,569.3,571.99,575.29,26612.15,15315755.66
1472860800,604.97,572.64,575.29,598.84,35699.73,21055514.22
1472947200,615.2,590.78,598.84,609.55,30690.03,18646011.82
1473033600,610.61,598.77,609.55,605.76,25286.46,15369832.26
1473120000,611.95,603.55,605.76,610.44,24324.78,14864563.84
1473206400,616.48,606.24,610.44,613.21,30033.77,18429525.07
1473292800,629.3,611.25,613.21,625.57,36328.29,22710390.64
1473379200,627.58,617.32,625.57,623.16,28333.32,17710151.19
1473465600,627.45,621.07,623.16,624.52,15279.28,9600113.74
1473552000,630.77,592.79,624.52,605.61,36543.99,22467346.61
1473638400,610.62,603.03,605.61,607.98,27944.86,17058938.65
1473724800,612.03,604.87,607.98,608.61,27515.13,16850869.45
1473811200,612.16,606.39,608.61,609.54,24244.49,14878860.18
1473897600,610.73,605.1,609.54,608.11,22687.24,13892193.46
1473984000,610.36,605.15,608.11,607.78,21847.03,13353736.94
1474070400,609.61,604.52,607.78,607.08,15894.29,9724490.11
1474156800,612.38,605.22,607.08,610.7,16329.91,10004923.58
1474243200,612.41,606.99,610.7,609.85,21236.53,12981851.28
1474329600,611.27,605.93,609.85,609.24,22607.66,13809380.94
1474416000,608.82,591.69,609.24,597.16,36862.36,22059386.51
1474502400,599.78,592.83,597.16,595.63,22441.49,13463966.31
1474588800,603.7,594.11,595.63,602.92,25921.89,15567036.24
1474675200,605.92,600.5,602.92,602.59,13472.8,8196210.74
1474761600,604.87,598.35,602.59,601.49,13278.03,8038079.81
1474848000,608.46,598.17,601.49,606.54,27504.57,16700407.53
1474934400,608.97,601.73,606.54,605.47,25546.7,15534315.77
1475020800,606.9,602.62,605.47,604.67,18936.2,11485005.36
1475107200,607.23,602.01,604.67,604.7,25321.05,15403975.48
1475193600,608.78,602.25,604.7,608.14,23952.58,14534745.84
1475280000,615,607.07,608.14,613.41,16932.63,10415543.03
1475366400,614.21,607.67,613.41,610.69,16534.52,10096653.77
1475452800,613.2,608.47,610.69,611.6,21946.12,13462741.8
1475539200,612.68,606.5,611.6,608.96,24993.32,15300692.52
1475625600,613.65,607.98,608.96,611.82,23401.3,14360536.88
1475712000,612.68,608.54,611.82,610.97,21625.57,13276337.45
1475798400,619.43,609.12,610.97,616.03,32725.06,20167399.2
1475884800,619.56,614.88,616.03,617.65,13620.86,8467434
1475971200,618.35,613.01,617.65,615.77,13430.26,8320759.4
1476057600,618.81,612.76,615.77,617.29,25230.93,15597892.34
1476144000,642.35,615.6,617.29,640.45,55765.89,35367127.91
1476230400,642.51,632.19,640.45,635.99,26952.73,17240000.95
1476316800,639.52,632.25,635.99,635.6,25614.65,16387361.92
1476403200,640.46,630.66,635.6,637.92,31421.75,20114873.61
1476489600,641.4,635.06,637.92,637.03,12381.25,7970927.57
1476576000,642.18,636.39,637.03,640.12,12886.16,8306925.43
1476662400,641.29,634.89,640.12,637.37,27691.09,17742610.19
1476748800,639.34,632.23,637.37,635.34,24598.13,15725013.13
1476835200,637.27,624.09,635.34,629.06,35289.02,22379197.69
1476921600,630.83,625.48,629.06,628.34,20943.99,13252110.98
1477008000,633.26,627.58,628.34,630.45,28087.96,17836383.25
1477094400,659.89,629.72,630.45,655.48,37097.19,24154228.12
1477180800,661.2,648.78,655.48,653.03,21907.32,14418212.04
1477267200,654.32,645.68,653.03,650.49,33243.05,21726106.55
1477353600,662.54,647.65,650.49,651,36742.93,24179462.12
1477440000,678.39,651.39,651,674.67,47670.4,31949607.32
1477526400,687.88,672.26,674.67,682.3,46557.39,31862181.34
1477612800,688.43,678.63,682.3,686.24,38968.34,26829414
1477699200,720.19,685.22,686.24,714.95,54028.31,38351348.64
1477785600,714.91,689.51,714.95,697.27,39328.5,27793236.64
1477872000,707.21,682.17,697.27,698.67,38046.55,26687188.09
1477958400,734.36,695.2,698.67,726.76,68064.91,49453950.69
1478044800,735.78,718.14,726.76,733.51,39043.27,28452232.03
1478131200,744.43,670.4,733.51,684.87,96409.44,69067917.54
1478217600,706.64,681.27,684.87,702.08,48235.17,33762721.43
1478304000,706.38,694.03,702.08,702.11,22018.95,15554565.72
1478390400,714.13,697.63,702.11,709.91,25809.88,18363567.63
1478476800,711.66,698.35,709.91,705.4,30743.71,21797370.12
1478563200,714.63,700.96,705.4,710.9,39732.33,28262235.71
1478649600,741.23,707.13,710.9,721.42,70698.2,51548567.54
1478736000,723.02,707.31,721.42,714.57,33327.52,23931322.76
1478822400,719.79,711.67,714.57,714.97,25583.38,18386841.21
1478908800,717.37,701.08,714.97,704.27,27601.81,19677656.63
1478995200,705.61,685.01,704.27,701.97,36136.74,25249834.8
1479081600,708.03,696.11,701.97,704.56,37752.31,26613445.03
1479168000,716.93,697.91,704.56,711.1,41401.17,29562740.26
1479254400,745.98,708.14,711.1,740.28,79569.14,58304902.39
1479340800,751.91,730.08,740.28,737.53,62772.48,46942756.4
1479427200,751.43,730.95,737.53,746.96,39708.18,29666065.54
